 "course" , "topic" , "lable" , "dbr_link" , "slide" , "lab" , "lecture" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Association_for_Computing_Machinery" , "Association_for_Computing_Machinery" , "http://dbpedia.org/resource/Association_for_Computing_Machinery" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Zucchini" , "Zucchini" , "http://dbpedia.org/resource/Zucchini" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Zucchini" , "Zucchini" , "http://dbpedia.org/resource/Zucchini" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#General_officer" , "General_officer" , "http://dbpedia.org/resource/General_officer" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#General_officer" , "General_officer" , "http://dbpedia.org/resource/General_officer" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#General_officer" , "General_officer" , "http://dbpedia.org/resource/General_officer" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Sentiment_analysis" , "Sentiment_analysis" , "http://dbpedia.org/resource/Sentiment_analysis" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Sentiment_analysis" , "Sentiment_analysis" , "http://dbpedia.org/resource/Sentiment_analysis" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Fujita_scale" , "Fujita_scale" , "http://dbpedia.org/resource/Fujita_scale" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Fujita_scale" , "Fujita_scale" , "http://dbpedia.org/resource/Fujita_scale" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Verb" , "Verb" , "http://dbpedia.org/resource/Verb" ,  ,  ,  ,
